sentence,word,string,num_tokens_total,num_tokens_target,num_tokens_disambiguating,mpath,language,multilingual,n_params
It was a desperate act.,act,act,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was a humane act.,act,act,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was a magic act.,act,act,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He had a universal appeal.,appeal,appeal,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He had an undefinable appeal.,appeal,appeal,9,1,4,distilbert/distilbert-base-uncased,english,No,66362880
He had a legal appeal.,appeal,appeal,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was a tense atmosphere.,atmosphere,atmosphere,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was a hostile atmosphere.,atmosphere,atmosphere,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was a gaseous atmosphere.,atmosphere,atmosphere,7,1,2,distilbert/distilbert-base-uncased,english,No,66362880
He bailed out the prisoner.,bail,bailed,7,2,1,distilbert/distilbert-base-uncased,english,No,66362880
He bailed out the defendant.,bail,bailed,7,2,1,distilbert/distilbert-base-uncased,english,No,66362880
He bailed out the water.,bail,bailed,7,2,1,distilbert/distilbert-base-uncased,english,No,66362880
It was a gold band.,band,band,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was a rubber band.,band,band,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was a jazz band.,band,band,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He banked the plane.,bank,banked,6,2,1,distilbert/distilbert-base-uncased,english,No,66362880
He banked the helicopter.,bank,banked,6,2,1,distilbert/distilbert-base-uncased,english,No,66362880
He banked the money.,bank,banked,6,2,1,distilbert/distilbert-base-uncased,english,No,66362880
There was a police barrier.,barrier,barrier,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
There was a concrete barrier.,barrier,barrier,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
There was a language barrier.,barrier,barrier,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He saw a furry bat.,bat,bat,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He saw a fruit bat.,bat,bat,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He saw a wooden bat.,bat,bat,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He saw the laser beam.,beam,beam,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He saw the bright beam.,beam,beam,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He saw the wood beam.,beam,beam,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
She had a toy block.,block,block,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
She had a wooden block.,block,block,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
She had a mental block.,block,block,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He has coagulated blood.,blood,blood,7,1,3,distilbert/distilbert-base-uncased,english,No,66362880
He has thin blood.,blood,blood,5,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He has noble blood.,blood,blood,5,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was the ironing board.,board,board,7,1,2,distilbert/distilbert-base-uncased,english,No,66362880
It was the wooden board.,board,board,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
It was the executive board.,board,board,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He had a best-selling book.,book,book,8,1,3,distilbert/distilbert-base-uncased,english,No,66362880
He had a popular book.,book,book,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He had a heavy book.,book,book,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He broke the glass.,break,broke,5,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He broke the dish.,break,broke,5,1,1,distilbert/distilbert-base-uncased,english,No,66362880
He broke the law.,break,broke,5,1,1,distilbert/distilbert-base-uncased,english,No,66362880
They ate a pancake breakfast.,breakfast,breakfast,7,1,2,distilbert/distilbert-base-uncased,english,No,66362880
They ate a nutritious breakfast.,breakfast,breakfast,8,1,3,distilbert/distilbert-base-uncased,english,No,66362880
They ate a family breakfast.,breakfast,breakfast,6,1,1,distilbert/distilbert-base-uncased,english,No,66362880
They called the landlord.,call,called,5,1,1,distilbert/distilbert-base-uncased,english,No,66362880
They called the police.,call,called,5,1,1,distilbert/distilbert-base-uncased,english,No,66362880
