sentence,word,string,num_tokens_total,num_tokens_target,num_tokens_disambiguating,mpath,language,multilingual,n_params
Compró el aceite de oliva.,aceite,aceite,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Compró el aceite de carro.,aceite,aceite,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Compró el aceite de cocina.,aceite,aceite,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Compró el aceite de motor.,aceite,aceite,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el ala sureste.,ala,ala,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el ala remodelada.,ala,ala,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el ala plumosa.,ala,ala,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el ala de águila.,ala,ala,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Evaluó el algodón endulzado.,algodón,algodón,9,1,3,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Evaluó el algodón sembrado.,algodón,algodón,8,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Evaluó el algodón caramelizado.,algodón,algodón,9,1,3,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Evaluó el algodón cultivado.,algodón,algodón,8,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba del arte de mentir.,arte,arte,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba del arte de guerra.,arte,arte,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba del arte abstracto.,arte,arte,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba del arte renacentista.,arte,arte,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un banco cómodo.,banco,banco,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un banco exitoso.,banco,banco,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un banco financiero.,banco,banco,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un banco plástico.,banco,banco,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Disfrutó el baño frío.,baño,baño,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Disfrutó el baño privado.,baño,baño,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Disfrutó el baño remodelado.,baño,baño,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Disfrutó el baño caliente.,baño,baño,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era una cadena de radio.,cadena,cadena,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era una cadena elegante.,cadena,cadena,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era una cadena de hierro.,cadena,cadena,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era una cadena de oro.,cadena,cadena,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era una cadena de reo.,cadena,cadena,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era una cadena televisiva.,cadena,cadena,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Ella vio la caja registradora.,caja,caja,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Ella vio la caja acústica.,caja,caja,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Ella vio la caja bancaria.,caja,caja,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Ella vio la caja sellada.,caja,caja,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Ella vio la caja fuerte.,caja,caja,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Ella vio la caja percusiva.,caja,caja,8,1,3,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Condujo en la calle marginal.,calle,calle,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Condujo en la calle principal.,calle,calle,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Condujo en la calle asfaltada.,calle,calle,9,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Condujo en la calle resbalosa.,calle,calle,9,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un campo competitivo.,campo,campo,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un campo biológico.,campo,campo,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un campo cultivado.,campo,campo,6,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un campo abandonado.,campo,campo,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en el canal uterino.,canal,canal,8,1,3,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en el canal televisivo.,canal,canal,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en el canal marítimo.,canal,canal,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en el canal navegable.,canal,canal,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en el canal de comedia.,canal,canal,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en el canal cervical.,canal,canal,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba de la capa de superhéroe.,capa,capa,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba de la capa de ozono.,capa,capa,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba de la capa atmosférica.,capa,capa,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba de la capa de tela.,capa,capa,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el capital financiero.,capital,capital,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó la capital antigua.,capital,capital,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el capital económico.,capital,capital,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó la capital holandesa.,capital,capital,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Fue una carrera académica.,carrera,carrera,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Fue una carrera profesional.,carrera,carrera,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Fue una carrera reñida.,carrera,carrera,6,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Fue una carrera universitaria.,carrera,carrera,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Fue una carrera benéfica.,carrera,carrera,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Fue una carrera olímpica.,carrera,carrera,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un cartel peligroso.,cartel,cartel,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un cartel publicitario.,cartel,cartel,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un cartel informativo.,cartel,cartel,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un cartel dominante.,cartel,cartel,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el casco de la ciclista.,casco,casco,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el casco protector.,casco,casco,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el casco urbano.,casco,casco,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Le gustó el casco de la ciudad.,casco,casco,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un caudal financiero.,caudal,caudal,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un caudal ecológico.,caudal,caudal,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un caudal ambiental.,caudal,caudal,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Era un caudal heredado.,caudal,caudal,5,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en la cima de la loma.,cima,cima,9,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en la cima de la fama.,cima,cima,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en la cima de la montaña.,cima,cima,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Estaba en la cima de su carrera.,cima,cima,8,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Usó la cinta rosada.,cinta,cinta,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Usó la cinta decorativa.,cinta,cinta,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Usó la cinta adhesiva.,cinta,cinta,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Usó la cinta pegante.,cinta,cinta,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Usó la cinta quirúrgica.,cinta,cinta,6,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Usó la cinta métrica.,cinta,cinta,7,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba de una clase media.,clase,clase,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba de una clase aburrida.,clase,clase,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba de una clase de geología.,clase,clase,9,1,2,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
Se trataba de una clase social.,clase,clase,7,1,1,PlanTL-GOB-ES/roberta-large-bne,spanish,No,355356672
