sentence,word,string,num_tokens_total,num_tokens_target,num_tokens_disambiguating,mpath,language,multilingual,n_params
Compró el aceite de oliva.,aceite,aceite,9,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Compró el aceite de carro.,aceite,aceite,8,1,1,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Compró el aceite de cocina.,aceite,aceite,8,1,1,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Compró el aceite de motor.,aceite,aceite,8,1,1,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Le gustó el ala sureste.,ala,ala,8,1,1,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Le gustó el ala remodelada.,ala,ala,11,1,4,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Le gustó el ala plumosa.,ala,ala,9,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Le gustó el ala de águila.,ala,ala,10,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Evaluó el algodón endulzado.,algodón,algodón,10,2,3,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Evaluó el algodón sembrado.,algodón,algodón,9,2,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Evaluó el algodón caramelizado.,algodón,algodón,10,2,3,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Evaluó el algodón cultivado.,algodón,algodón,10,2,3,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Se trataba del arte de mentir.,arte,arte,8,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Se trataba del arte de guerra.,arte,arte,7,1,1,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Se trataba del arte abstracto.,arte,arte,7,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Se trataba del arte renacentista.,arte,arte,9,1,4,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Era un banco cómodo.,banco,banco,6,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Era un banco exitoso.,banco,banco,6,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Era un banco financiero.,banco,banco,6,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Era un banco plástico.,banco,banco,6,1,2,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Disfrutó el baño frío.,baño,baño,9,2,1,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Disfrutó el baño privado.,baño,baño,9,2,1,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
Disfrutó el baño remodelado.,baño,baño,12,2,4,google-bert/bert-base-multilingual-cased,spanish,Yes,177853440
