word,sentence1,sentence2,Class,string,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,mean_relatedness,median_relatedness,diff,count,sd_relatedness,se_relatedness,v1,v2,dominance_sentence2,sd_dominance_sentence2
act,It was a desperate act.,It was a magic act.,N,act,FALSE,Polysemy,desperate,magic,M1_a_M2_a,2.181818182,2,0.181818182,11,1.328019715,0.40041301,M1_a,M2_a,-0.533333333,1.187233679
act,It was a desperate act.,It was a comedic act.,N,act,FALSE,Polysemy,desperate,comedic,M1_a_M2_b,2,2,0,7,1.290994449,0.487950036,M1_a,M2_b,0.1764705882352939,1.467791458
act,It was a humane act.,It was a magic act.,N,act,FALSE,Polysemy,humane,magic,M1_b_M2_a,2.818181818,3,0.181818182,11,0.981649817,0.295978556,M1_b,M2_a,0.103448276,1.519981851
act,It was a humane act.,It was a comedic act.,N,act,FALSE,Polysemy,humane,comedic,M1_b_M2_b,2.80952381,3,0.19047619,21,0.92838826,0.202590927,M1_b,M2_b,-0.411764706,1.5434872662825805
act,It was a desperate act.,It was a humane act.,N,act,TRUE,Polysemy,desperate,humane,M1_a_M1_b,3.9,4,0.1,10,0.316227766,0.1,M1_a,M1_b,,
act,It was a magic act.,It was a comedic act.,N,act,TRUE,Polysemy,magic,comedic,M2_a_M2_b,3.764705882,4,0.235294118,17,0.437237316,0.1060456259999999,M2_a,M2_b,,
appeal,He had a universal appeal.,He had a legal appeal.,N,appeal,FALSE,Polysemy,universal,legal,M1_a_M2_a,1.571428571,1,0.571428571,14,1.7415415680000002,0.465446562,M1_a,M2_a,0.117647059,1.4090046549415902
appeal,He had a universal appeal.,He had a pending appeal.,N,appeal,FALSE,Polysemy,universal,pending,M1_a_M2_b,1,0,1,18,1.328422328,0.313112146,M1_a,M2_b,-0.352941176,1.7299268940690902
appeal,He had an undefinable appeal.,He had a legal appeal.,N,appeal,FALSE,Polysemy,undefinable,legal,M1_b_M2_a,1.235294118,1,0.235294118,17,1.200490096,0.291161616,M1_b,M2_a,0.08,1.55241747
appeal,He had an undefinable appeal.,He had a pending appeal.,N,appeal,FALSE,Polysemy,undefinable,pending,M1_b_M2_b,0.7142857140000001,0,0.7142857140000001,7,1.253566341,0.473803541,M1_b,M2_b,0.315789474,1.4549773415168703
appeal,He had a universal appeal.,He had an undefinable appeal.,N,appeal,TRUE,Polysemy,universal,undefinable,M1_a_M1_b,3.7,4,0.3,10,0.483045892,0.152752523,M1_a,M1_b,,
appeal,He had a legal appeal.,He had a pending appeal.,N,appeal,TRUE,Polysemy,legal,pending,M2_a_M2_b,3.272727273,4,0.727272727,11,0.904534034,0.272727273,M2_a,M2_b,,
atmosphere,It was a tense atmosphere.,It was a gaseous atmosphere.,N,atmosphere,FALSE,Polysemy,tense,gaseous,M1_a_M2_a,1.214285714,1,0.214285714,14,1.050902281,0.280865449,M1_a,M2_a,-0.64,1.319090596
atmosphere,It was a tense atmosphere.,It was a polluted atmosphere.,N,atmosphere,FALSE,Polysemy,tense,polluted,M1_a_M2_b,1.846153846,2,0.153846154,13,1.28102523,0.355292473,M1_a,M2_b,0.6,1.4040757000349298
atmosphere,It was a hostile atmosphere.,It was a gaseous atmosphere.,N,atmosphere,FALSE,Polysemy,hostile,gaseous,M1_b_M2_a,1.5384615380000002,2,0.461538462,13,0.877058019,0.243252128,M1_b,M2_a,-0.64,1.4106735979665903
atmosphere,It was a hostile atmosphere.,It was a polluted atmosphere.,N,atmosphere,FALSE,Polysemy,hostile,polluted,M1_b_M2_b,2.181818182,2,0.181818182,11,0.8738628979999999,0.2634795769999999,M1_b,M2_b,0.307692308,1.652503928
atmosphere,It was a tense atmosphere.,It was a hostile atmosphere.,N,atmosphere,TRUE,Polysemy,tense,hostile,M1_a_M1_b,4,4,0,11,0,0,M1_a,M1_b,,
atmosphere,It was a gaseous atmosphere.,It was a polluted atmosphere.,N,atmosphere,TRUE,Polysemy,gaseous,polluted,M2_a_M2_b,3.4666666669999997,4,0.533333333,15,0.639940473,0.16523192,M2_a,M2_b,,
bail,He bailed out the prisoner.,He bailed out the water.,V,bailed,FALSE,Homonymy,prisoner,water,M1_a_M2_a,0.894736842,1,0.105263158,19,1.100239208,0.252412185,M1_a,M2_a,-1.333333333,0.8164965809277259
bail,He bailed out the prisoner.,He bailed out the liquid.,V,bailed,FALSE,Homonymy,prisoner,liquid,M1_a_M2_b,0.666666667,1,0.333333333,9,0.7071067809999999,0.23570226,M1_a,M2_b,-1.153846154,1.433661262
bail,He bailed out the defendant.,He bailed out the water.,V,bailed,FALSE,Homonymy,defendant,water,M1_b_M2_a,0.75,0.5,0.25,8,0.88640526,0.313391585,M1_b,M2_a,-1.5,1.100239208
bail,He bailed out the defendant.,He bailed out the liquid.,V,bailed,FALSE,Homonymy,defendant,liquid,M1_b_M2_b,0.764705882,1,0.235294118,17,0.7524469890000001,0.182495201,M1_b,M2_b,-1.647058824,0.7859052479933759
