word,sentence,disambiguating_word,gender,string,context_cue
aceite,Compró el aceite de oliva.,oliva,male,aceite,adjective
aceite,Compró el aceite de carro.,carro,male,aceite,adjective
aceite,Compró el aceite de cocina.,cocina,male,aceite,adjective
aceite,Compró el aceite de motor.,motor,male,aceite,adjective
ala,Le gustó el ala sureste.,sureste,female,ala,adjective
ala,Le gustó el ala remodelada.,remodelada,female,ala,adjective
ala,Le gustó el ala plumosa.,plumosa,female,ala,adjective
ala,Le gustó el ala de águila.,águila,female,ala,adjective
algodón,Evaluó el algodón endulzado.,endulzado,male,algodón,adjective
algodón,Evaluó el algodón sembrado.,sembrado,male,algodón,adjective
algodón,Evaluó el algodón caramelizado.,caramelizado,male,algodón,adjective
algodón,Evaluó el algodón cultivado.,cultivado,male,algodón,adjective
arte,Se trataba del arte de mentir.,mentir,male,arte,adjective
arte,Se trataba del arte de guerra.,guerra,male,arte,adjective
arte,Se trataba del arte abstracto.,abstracto,male,arte,adjective
arte,Se trataba del arte renacentista.,renacentista,male,arte,adjective
banco,Era un banco cómodo.,cómodo,male,banco,adjective
banco,Era un banco exitoso.,exitoso,male,banco,adjective
banco,Era un banco financiero.,financiero,male,banco,adjective
banco,Era un banco plástico.,plástico,male,banco,adjective
baño,Disfrutó el baño frío.,frío,male,baño,adjective
baño,Disfrutó el baño privado.,privado,male,baño,adjective
baño,Disfrutó el baño remodelado.,remodelado,male,baño,adjective
baño,Disfrutó el baño caliente.,caliente,male,baño,adjective
cadena,Era una cadena de radio.,radio,female,cadena,adjective
cadena,Era una cadena elegante.,elegante,female,cadena,adjective
cadena,Era una cadena de hierro.,hierro,female,cadena,adjective
cadena,Era una cadena de oro.,oro,female,cadena,adjective
cadena,Era una cadena de reo.,reo,female,cadena,adjective
cadena,Era una cadena televisiva.,televisiva,female,cadena,adjective
caja,Ella vio la caja registradora.,registradora,female,caja,adjective
caja,Ella vio la caja acústica.,acústica,female,caja,adjective
caja,Ella vio la caja bancaria.,bancaria,female,caja,adjective
caja,Ella vio la caja sellada.,sellada,female,caja,adjective
caja,Ella vio la caja fuerte.,fuerte,female,caja,adjective
caja,Ella vio la caja percusiva.,percusiva,female,caja,adjective
calle,Condujo en la calle marginal.,marginal,female,calle,adjective
calle,Condujo en la calle principal.,principal,female,calle,adjective
calle,Condujo en la calle asfaltada.,asfaltada,female,calle,adjective
calle,Condujo en la calle resbalosa.,resbalosa,female,calle,adjective
campo,Era un campo competitivo.,competitivo,male,campo,adjective
campo,Era un campo biológico.,biológico,male,campo,adjective
campo,Era un campo cultivado.,cultivado,male,campo,adjective
campo,Era un campo abandonado.,abandonado,male,campo,adjective
canal,Estaba en el canal uterino.,uterino,male,canal,adjective
canal,Estaba en el canal televisivo.,televisivo,male,canal,adjective
canal,Estaba en el canal marítimo.,marítimo,male,canal,adjective
canal,Estaba en el canal navegable.,navegable,male,canal,adjective
canal,Estaba en el canal de comedia.,comedia,male,canal,adjective
canal,Estaba en el canal cervical.,cervical,male,canal,adjective
capa,Se trataba de la capa de superhéroe.,superhéroe,female,capa,adjective
capa,Se trataba de la capa de ozono.,ozono,female,capa,adjective
capa,Se trataba de la capa atmosférica.,atmosférica,female,capa,adjective
capa,Se trataba de la capa de tela.,tela,female,capa,adjective
capital,Le gustó el capital financiero.,financiero,male,capital,adjective
capital,Le gustó la capital antigua.,antigua,female,capital,adjective
capital,Le gustó el capital económico.,económico,male,capital,adjective
capital,Le gustó la capital holandesa.,holandesa,female,capital,adjective
carrera,Fue una carrera académica.,académica,female,carrera,adjective
carrera,Fue una carrera profesional.,profesional,female,carrera,adjective
carrera,Fue una carrera reñida.,reñida,female,carrera,adjective
carrera,Fue una carrera universitaria.,universitaria,female,carrera,adjective
carrera,Fue una carrera benéfica.,benéfica,female,carrera,adjective
carrera,Fue una carrera olímpica.,olímpica,female,carrera,adjective
cartel,Era un cartel peligroso.,peligroso,male,cartel,adjective
cartel,Era un cartel publicitario.,publicitario,male,cartel,adjective
cartel,Era un cartel informativo.,informativo,male,cartel,adjective
cartel,Era un cartel dominante.,dominante,male,cartel,adjective
casco,Le gustó el casco de la ciclista.,ciclista,male,casco,adjective
casco,Le gustó el casco protector.,protector,male,casco,adjective
casco,Le gustó el casco urbano.,urbano,male,casco,adjective
casco,Le gustó el casco de la ciudad.,ciudad,male,casco,adjective
caudal,Era un caudal financiero.,financiero,male,caudal,adjective
caudal,Era un caudal ecológico.,ecológico,male,caudal,adjective
caudal,Era un caudal ambiental.,ambiental,male,caudal,adjective
caudal,Era un caudal heredado.,heredado,male,caudal,adjective
cima,Estaba en la cima de la loma.,loma,female,cima,adjective
cima,Estaba en la cima de la fama.,fama,female,cima,adjective
