word,sentence,disambiguating_word,Class,string
act,It was a desperate act.,desperate,N,act
act,It was a humane act.,humane,N,act
act,It was a magic act.,magic,N,act
appeal,He had a universal appeal.,universal,N,appeal
appeal,He had an undefinable appeal.,undefinable,N,appeal
appeal,He had a legal appeal.,legal,N,appeal
atmosphere,It was a tense atmosphere.,tense,N,atmosphere
atmosphere,It was a hostile atmosphere.,hostile,N,atmosphere
atmosphere,It was a gaseous atmosphere.,gaseous,N,atmosphere
bail,He bailed out the prisoner.,prisoner,V,bailed
bail,He bailed out the defendant.,defendant,V,bailed
bail,He bailed out the water.,water,V,bailed
band,It was a gold band.,gold,N,band
band,It was a rubber band.,rubber,N,band
band,It was a jazz band.,jazz,N,band
bank,He banked the plane.,plane,V,banked
bank,He banked the helicopter.,helicopter,V,banked
bank,He banked the money.,money,V,banked
barrier,There was a police barrier.,police,N,barrier
barrier,There was a concrete barrier.,concrete,N,barrier
barrier,There was a language barrier.,language,N,barrier
bat,He saw a furry bat.,furry,N,bat
bat,He saw a fruit bat.,fruit,N,bat
bat,He saw a wooden bat.,wooden,N,bat
beam,He saw the laser beam.,laser,N,beam
beam,He saw the bright beam.,bright,N,beam
beam,He saw the wood beam.,wood,N,beam
block,She had a toy block.,toy,N,block
block,She had a wooden block.,wooden,N,block
block,She had a mental block.,mental,N,block
blood,He has coagulated blood.,coagulated,N,blood
blood,He has thin blood.,thin,N,blood
blood,He has noble blood.,noble,N,blood
board,It was the ironing board.,ironing,N,board
board,It was the wooden board.,wooden,N,board
board,It was the executive board.,executive,N,board
book,He had a best-selling book.,best-selling,N,book
book,He had a popular book.,popular,N,book
book,He had a heavy book.,heavy,N,book
break,He broke the glass.,glass,V,broke
break,He broke the dish.,dish,V,broke
break,He broke the law.,law,V,broke
breakfast,They ate a pancake breakfast.,pancake,N,breakfast
breakfast,They ate a nutritious breakfast.,nutritious,N,breakfast
breakfast,They ate a family breakfast.,family,N,breakfast
call,They called the landlord.,landlord,V,called
call,They called the police.,police,V,called
call,They called the loan.,loan,V,called
cape,It was a red cape.,red,N,cape
cape,It was a flowing cape.,flowing,N,cape
cape,It was a rocky cape.,rocky,N,cape
case,It was a beer case.,beer,N,case
case,It was a display case.,display,N,case
case,It was a divorce case.,divorce,N,case
cast,She cast a shadow.,shadow,V,cast
cast,She cast a glow.,glow,V,cast
cast,She cast a spear.,spear,V,cast
cause,It was a worthy cause.,worthy,N,cause
cause,It was a political cause.,political,N,cause
cause,It was a main cause.,main,N,cause
cell,It was a skin cell.,skin,N,cell
cell,It was a brain cell.,brain,N,cell
cell,It was a prison cell.,prison,N,cell
charm,She had a devilish charm.,devilish,N,charm
charm,She had a natural charm.,natural,N,charm
charm,She had a gold charm.,gold,N,charm
check,He checked the engine.,engine,V,checked
check,He checked the oven.,oven,V,checked
check,He checked the alibi.,alibi,V,checked
chicken,They liked the juicy chicken.,juicy,N,chicken
chicken,They liked the roasted chicken.,roasted,N,chicken
chicken,They liked the clucking chicken.,clucking,N,chicken
class,It was a perceptive class.,perceptive,N,class
class,It was a misbehaving class.,misbehaving,N,class
class,It was a boring class.,boring,N,class
clear,He cleared the desk.,desk,V,cleared
clear,He cleared the shelf.,shelf,V,cleared
clear,He cleared the path.,path,V,cleared
clip,It was a film clip.,film,N,clip
clip,It was a video clip.,video,N,clip
clip,It was a hair clip.,hair,N,clip
clog,The dancer clogged.,dancer,V,clogged
