sentence,word,string,Layer,num_tokens_original,num_tokens_unique,prop_original_tokens,mean_dist,centered_isotropy,intra_sentence_similarity,n_params,mpath,language,multilingual
It was a desperate act.,act,act,0,8,8,1.0,0.7220961870208326,1.1381964087486267,0.6061685,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,1,8,8,1.0,0.38719820121178977,1.1336171329021454,0.8130305,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,2,8,8,1.0,0.23129355521064518,1.135965719819069,0.8930005,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,3,8,8,1.0,0.2168676080752596,1.139663204550743,0.900113,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,4,8,8,1.0,0.22074703693501965,1.1396385580301285,0.89823854,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,5,8,8,1.0,0.21268559682792304,1.1393124610185623,0.9021392,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,6,8,8,1.0,0.21426371033456687,1.1374045312404633,0.90137416,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,7,8,8,1.0,0.2118296282145973,1.1350596100091934,0.9025506,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,8,8,8,1.0,0.22578752721081777,1.1380442380905151,0.8957673,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,9,8,8,1.0,0.2274484053976936,1.1397012174129486,0.89496434,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,10,8,8,1.0,0.1952463067656525,1.1402096897363663,0.910571,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,11,8,8,1.0,0.18040748732288162,1.1408057510852814,0.9176817,124645632,FacebookAI/roberta-base,english,No
It was a desperate act.,act,act,12,8,8,1.0,0.1807993629128104,1.1410821229219437,0.91732466,124645632,FacebookAI/roberta-base,english,No
It was a humane act.,act,act,0,8,8,1.0,0.7301998074711913,1.1376501768827438,0.6002274,124645632,FacebookAI/roberta-base,english,No
It was a humane act.,act,act,1,8,8,1.0,0.3936264756136894,1.1324841976165771,0.8095849,124645632,FacebookAI/roberta-base,english,No
It was a humane act.,act,act,2,8,8,1.0,0.2292535395648953,1.1357056349515915,0.8940103,124645632,FacebookAI/roberta-base,english,No
It was a humane act.,act,act,3,8,8,1.0,0.21017205981433001,1.1397051811218262,0.9033663,124645632,FacebookAI/roberta-base,english,No
It was a humane act.,act,act,4,8,8,1.0,0.20737121397242617,1.1403252929449081,0.90473133,124645632,FacebookAI/roberta-base,english,No
It was a humane act.,act,act,5,8,8,1.0,0.20596088834975115,1.1396237760782242,0.9054003,124645632,FacebookAI/roberta-base,english,No
It was a humane act.,act,act,6,8,8,1.0,0.21022258152040596,1.1384930461645126,0.903337,124645632,FacebookAI/roberta-base,english,No
