sentence,word,string,Layer,num_tokens_original,num_tokens_unique,prop_original_tokens,mean_dist,centered_isotropy,intra_sentence_similarity,n_params,mpath,language,multilingual
Compró el aceite de oliva.,aceite,aceite,0,8,8,1.0,0.7969433026881408,1.1400695145130157,0.54782635,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,1,8,8,1.0,0.6608188920769456,1.1355339139699936,0.64710665,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,2,8,8,1.0,0.6599656477975664,1.136641263961792,0.6479725,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,3,8,8,1.0,0.6058566236052115,1.1364242285490036,0.6831739,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,4,8,8,1.0,0.5479877429791012,1.135928750038147,0.7196107,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,5,8,8,1.0,0.6043080421790902,1.1353920996189117,0.68378913,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,6,8,8,1.0,0.5543492190071724,1.1384727507829666,0.71645176,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,7,8,8,1.0,0.5959805821700224,1.1384463757276535,0.690084,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,8,8,8,1.0,0.5934605902553605,1.1386772692203522,0.6919825,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,9,8,8,1.0,0.6076282288566943,1.1388653963804245,0.6827552,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,10,8,8,1.0,0.5995858966977331,1.1397815197706223,0.68812466,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,11,8,8,1.0,0.6057967745484173,1.139518916606903,0.6839379,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,12,8,8,1.0,0.6006572675185086,1.1403071731328964,0.68745565,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,13,8,8,1.0,0.5945823910390596,1.1406669616699219,0.691159,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,14,8,8,1.0,0.5863489021721159,1.1403172612190247,0.6966234,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,15,8,8,1.0,0.6014807557615744,1.140183463692665,0.68702674,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,16,8,8,1.0,0.5848494000718955,1.1403361707925797,0.69704604,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,17,8,8,1.0,0.5778111590440969,1.139550358057022,0.70155776,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,18,8,8,1.0,0.5879654623606025,1.1386562883853912,0.69479984,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,19,8,8,1.0,0.5784020900820245,1.138751357793808,0.7000555,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,20,8,8,1.0,0.5837915177598525,1.1378398090600967,0.6962869,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,21,8,8,1.0,0.5957058837676331,1.1380385011434555,0.6888548,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,22,8,8,1.0,0.6443127214366304,1.1375430971384048,0.65698147,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,23,8,8,1.0,0.7135203634565709,1.1364725977182388,0.60888255,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de oliva.,aceite,aceite,24,8,8,1.0,0.7383716937716,1.1329199224710464,0.5903546,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de carro.,aceite,aceite,0,8,8,1.0,0.8103837544752622,1.1394778192043304,0.5371529,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de carro.,aceite,aceite,1,8,8,1.0,0.6593136204496485,1.1353685110807419,0.6486501,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de carro.,aceite,aceite,2,8,8,1.0,0.6468707514281246,1.136747494339943,0.65731996,17811968,dccuchile/albert-large-spanish,spanish,No
Compró el aceite de carro.,aceite,aceite,3,8,8,1.0,0.5962894011932567,1.1382410377264023,0.6901335,17811968,dccuchile/albert-large-spanish,spanish,No
