sentence,word,string,Layer,num_tokens_original,num_tokens_unique,prop_original_tokens,mean_dist,centered_isotropy,intra_sentence_similarity,n_params,mpath,language,multilingual
Compró el aceite de oliva.,aceite,aceite,0,9,9,1.0,0.9130160602295585,1.1235417500138283,0.43169916,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,1,9,9,1.0,0.7495950516451245,1.1023610681295395,0.56781757,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,2,9,9,1.0,0.7136784348997597,1.114255852997303,0.5990506,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,3,9,9,1.0,0.6494790415304509,1.1201872006058693,0.64652187,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,4,9,9,1.0,0.5830947223625582,1.1202367693185806,0.6915658,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,5,9,9,1.0,0.5375491975753954,1.119171142578125,0.72117954,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,6,9,9,1.0,0.6192494799206861,1.1176289692521095,0.66661143,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,7,9,9,1.0,0.5505477265607457,1.1207806766033173,0.712384,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,8,9,9,1.0,0.6408109316730661,1.1208059415221214,0.6492937,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,9,9,9,1.0,0.4633638436456311,1.1225892454385757,0.76651925,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,10,9,9,1.0,0.4671007743316926,1.1187652871012688,0.7632072,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,11,9,9,1.0,0.4894542831069506,1.116913117468357,0.7487569,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de oliva.,aceite,aceite,12,9,9,1.0,0.2205210376927285,1.1113546937704086,0.89655524,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,0,9,9,1.0,0.9168035052134699,1.123269185423851,0.42776445,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,1,9,9,1.0,0.7417954710531893,1.1013697683811188,0.5748872,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,2,9,9,1.0,0.7164849422287449,1.1147461235523224,0.597973,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,3,9,9,1.0,0.6555489115683116,1.1197504624724388,0.6427567,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,4,9,9,1.0,0.5887552355670287,1.1198840290307999,0.6882805,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,5,9,9,1.0,0.5425472088216519,1.1192040741443634,0.71846336,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,6,9,9,1.0,0.6146215381454921,1.1202449277043343,0.6714139,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,7,9,9,1.0,0.5414693779377409,1.1218897253274918,0.7188353,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,8,9,9,1.0,0.6309350028789259,1.1192348524928093,0.65686965,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,9,9,9,1.0,0.4700221709879592,1.1224430426955223,0.7627615,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,10,9,9,1.0,0.47125070154655124,1.1195444762706757,0.7610931,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,11,9,9,1.0,0.48748013279014074,1.1192999929189682,0.7501757,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de carro.,aceite,aceite,12,9,9,1.0,0.20542480247609515,1.1182249784469604,0.90408015,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
Compró el aceite de cocina.,aceite,aceite,0,9,9,1.0,0.9100772771532663,1.1235061064362526,0.43477806,124643328,PlanTL-GOB-ES/roberta-base-bne,spanish,No
